,Geography,Density,numAirports
0,Newfoundland and Labrador,3.611736507034838,1.0
1,Prince Edward Island,72.38352402745996,0.0
2,Nova Scotia,47.4631931630572,1.0
3,New Brunswick,28.273933374415485,1.0
4,Quebec,16.19809174715745,2.0
5,Ontario,41.51872202561367,2.0
6,Manitoba,6.445157185033383,1.0
7,Saskatchewan,5.172649871960428,2.0
8,Alberta,17.794943548387096,2.0
9,British Columbia,14.307637395861327,3.0
10,Yukon,0.22427018557241366,0.0
11,Northwest Territories,0.09830294751221562,0.0
12,Nunavut,0.052301090113265294,0.0
13,District of Columbia,11814.541000000001,2.0
14,New Jersey,1215.1991,2.0
15,Rhode Island,1021.4323,1.0
16,Massachusetts,894.4355,1.0
17,Connecticut,735.8689,1.0
18,Maryland,626.6731,1.0
19,Delaware,504.3073,0.0
20,New York,412.5211,7.0
21,Florida,410.1256,14.0
22,Ohio,287.5038,4.0
23,Pennsylvania,286.5449,3.0
24,California,256.3727,10.0
25,Illinois,228.0243,2.0
26,Virginia,218.4403,2.0
27,North Carolina,218.2702,4.0
28,Indiana,188.28099999999998,1.0
29,Georgia,186.6719,2.0
30,Michigan,177.6655,1.0
31,South Carolina,173.3174,2.0
32,Tennessee,167.2748,3.0
33,New Hampshire,153.1605,0.0
34,Washington,117.3272,2.0
35,Kentucky,113.9566,1.0
36,Texas,112.8204,6.0
37,Wisconsin,108.0497,3.0
38,Louisiana,107.5175,1.0
39,Alabama,96.9221,2.0
40,Missouri,89.7453,2.0
41,West Virginia,73.9691,0.0
42,Minnesota,71.5922,1.0
43,Vermont,68.1416,0.0
44,Arizona,64.955,2.0
45,Mississippi,63.7056,0.0
46,Arkansas,58.403,1.0
47,Oklahoma,57.6547,1.0
48,Iowa,56.9284,1.0
49,Colorado,56.4011,1.0
50,Oregon,44.8086,1.0
51,Maine,43.6336,1.0
52,Utah,39.943000000000005,1.0
53,Kansas,35.5968,0.0
54,Nevada,28.5993,2.0
55,Nebraska,25.4161,1.0
56,Idaho,22.0969,1.0
57,New Mexico,17.285,1.0
58,South Dakota,11.9116,0.0
59,North Dakota,11.0393,0.0
60,Montana,7.4668,0.0
61,Wyoming,5.84,0.0
62,Alaska,1.2863,2.0
